IdEmpleado,IdEmpresa,IdLiquidacion,IdTurno,IdPermiso,Fecha,Descripcion,TipoDeDescripcion,MarcacionEntrada,MarcacionSalida,HTRAB,HO,HDES,HED,HEN,HEDF,RN,TempDomLab,HRET,HSANT,HOPermisoRemunerado,IdProgramacion,HoraInicioPermiso,HoraFinPermiso,FechaCompensatorio,nombre_dia
52.0,6.0,695220.0,18.0,,2023-04-07,14:00 - 22:00,2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2867.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
52.0,6.0,695221.0,18.0,,2023-04-08,14:00 - 22:00,2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2761.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
52.0,6.0,695221.0,18.0,,2023-04-08,14:00 - 22:00,2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2812.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
52.0,6.0,695221.0,18.0,,2023-04-08,14:00 - 22:00,2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2813.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
52.0,6.0,695221.0,18.0,,2023-04-08,14:00 - 22:00,2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2815.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
52.0,6.0,695221.0,18.0,,2023-04-08,14:00 - 22:00,2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2868.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Saturday
52.0,6.0,695222.0,18.0,,2023-04-09,14:00 - 22:00 (Domingo),2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2762.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
52.0,6.0,695222.0,18.0,,2023-04-09,14:00 - 22:00 (Domingo),2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2817.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
52.0,6.0,695222.0,18.0,,2023-04-09,14:00 - 22:00 (Domingo),2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2818.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
52.0,6.0,695222.0,18.0,,2023-04-09,14:00 - 22:00 (Domingo),2.0, 14:00, 22:00,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2820.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Sunday
